cik	year	cat
1000235	2001	371
1000235	2001	631
1000235	2001	633
1000235	2001	63
1000235	2001	641
1000235	2001	131
1000235	2001	138
1000235	2001	153
1000235	2001	421
1000235	2001	679
1000235	2001	284
1000235	2001	451
1000235	2001	736
1000235	2001	483
1000235	2001	495
1000235	2001	504
1000235	2001	506
1000266	2001	10
1000266	2001	13
1000266	2001	15
1000266	2001	533
1000266	2001	23
1000266	2001	541
1000266	2001	799
1000266	2001	32
1000266	2001	33
1000266	2001	34
1000266	2001	35
1000266	2001	36
1000266	2001	37
1000266	2001	39
1000266	2001	42
1000266	2001	44
1000266	2001	48
1000266	2001	49
1000266	2001	50
1000266	2001	51
1000266	2001	308
1000266	2001	53
1000266	2001	54
1000266	2001	55
1000266	2001	56
1000266	2001	57
1000266	2001	59
1000266	2001	62
1000266	2001	565
1000266	2001	64
1000266	2001	67
1000266	2001	481
1000266	2001	73
1000266	2001	331
1000266	2001	79
1000266	2001	80
1000266	2001	594
1000266	2001	87
1000266	2001	603
1000266	2001	355
1000266	2001	357
1000266	2001	364
1000266	2001	621
1000266	2001	366
1000266	2001	61
1000266	2001	371
1000266	2001	631
1000266	2001	633
1000266	2001	63
1000266	2001	382
1000266	2001	641
1000266	2001	131
1000266	2001	153
1000266	2001	367
1000266	2001	421
1000266	2001	679
1000266	2001	736
1000266	2001	737
1000266	2001	483
1000266	2001	495
1000266	2001	504
1000266	2001	506
1000278	2001	20
1000278	2001	23
1000278	2001	25
1000278	2001	26
1000278	2001	28
1000278	2001	541
1000278	2001	30
1000278	2001	32
1000278	2001	33
1000278	2001	34
1000278	2001	35
1000278	2001	36
1000278	2001	37
1000278	2001	38
1000278	2001	39
1000278	2001	45
1000278	2001	50
1000278	2001	51
1000278	2001	308
1000278	2001	54
1000278	2001	55
1000278	2001	57
1000278	2001	58
1000278	2001	394
1000278	2001	565
1000278	2001	64
1000278	2001	581
1000278	2001	331
1000278	2001	80
1000278	2001	594
1000278	2001	87
1000278	2001	355
1000278	2001	356
1000278	2001	357
1000278	2001	873
1000278	2001	364
1000278	2001	366
1000278	2001	371
1000278	2001	631
1000278	2001	633
1000278	2001	382
1000278	2001	384
1000278	2001	641
1000278	2001	153
1000278	2001	367
1000278	2001	283
1000278	2001	284
1000278	2001	208
1000278	2001	736
1000278	2001	483
1000278	2001	495
1000278	2001	504
1000278	2001	506
1000285	2001	10
1000285	2001	13
1000285	2001	15
1000285	2001	533
1000285	2001	23
1000285	2001	27
1000285	2001	541
1000285	2001	799
1000285	2001	32
1000285	2001	33
1000285	2001	34
1000285	2001	36
1000285	2001	37
1000285	2001	39
1000285	2001	42
1000285	2001	44
1000285	2001	48
1000285	2001	49
1000285	2001	51
1000285	2001	308
