gvkey	year	sics13	sid
1094	2000	516	4
1094	2000	512	5
1094	2000	512	6
1094	2001	512	5
1094	2001	512	6
1094	2002	512	5
1094	2002	516	8
1094	2003	516	2
1094	2003	516	8
1094	2003	516	9
1094	2004	516	8
1094	2004	516	9
1094	2005	516	8
1094	2005	516	9
1094	2006	516	8
1094	2006	516	9
1094	2007	516	2
1094	2007	516	8
1094	2007	516	9
1094	2008	516	8
1094	2008	516	9
1094	2009	516	2
1094	2009	516	8
1094	2009	516	9
1094	2010	516	8
1094	2010	516	9
1094	2011	516	2
1094	2011	516	8
1094	2011	516	9
1094	2012	512	11
1094	2012	516	12
1094	2012	516	13
1094	2013	512	11
1094	2013	516	12
1094	2013	516	13
1095	1996	731	2
1095	1996	483	5
1095	1996	794	6
1095	1997	731	2
1095	1997	483	5
1095	1997	794	6
1095	1998	731	2
1095	1998	794	6
1095	1998	483	7
1095	1998	483	8
1095	1999	731	2
1095	1999	794	6
1095	1999	483	7
1095	1999	483	8
1095	2000	731	2
1095	2000	483	7
1095	2000	483	8
1095	2000	737	9
1095	2001	483	7
1095	2001	483	8
1095	2001	737	9
1097	1996	154	1
1097	1997	154	1
1097	1997	635	2
1097	1998	154	1
1097	1998	635	3
1097	1998	635	4
1097	1999	154	1
1097	1999	633	3
1097	1999	635	4
1097	2000	154	1
1097	2000	633	3
1097	2000	635	4
1097	2001	154	1
1097	2001	633	3
1097	2001	633	4
1097	2002	154	1
1097	2002	633	3
1097	2002	633	4
1097	2003	154	1
1097	2003	633	3
1097	2003	635	4
1099	1996	362	1
1099	1997	362	1
1099	1998	362	1
1099	1999	367	3
1099	1999	361	4
1099	2000	362	2
1099	2000	367	3
1099	2000	361	4
1104	1996	342	2
1104	1997	342	0
1104	1998	342	2
1104	1999	342	0
1104	2000	342	0
1104	2001	342	0
1104	2002	342	2
1104	2003	342	2
1104	2004	342	2
1104	2005	342	2
1104	2006	342	2
1104	2007	342	2
1104	2008	342	2
1104	2009	342	2
1104	2010	342	2
1104	2011	342	2
1104	2012	342	2
1104	2013	342	2
1108	1996	502	1
1109	1996	394	2
1109	1997	394	3
1109	1998	394	3
1109	1999	394	3
1109	2000	394	3
1109	2001	394	3
1109	2002	394	3
1109	2003	394	3
1109	2004	394	3
1109	2005	394	3
1109	2006	394	3
1109	2007	394	3
1109	2008	394	3
1111	1996	737	1
1111	1997	737	1
1111	1998	737	1
1111	1999	737	2
1111	1999	737	3
1111	2000	737	2
1111	2000	737	3
1111	2001	737	2
1111	2001	737	3
1111	2002	737	2
1111	2002	737	3
1111	2003	737	2
1111	2003	737	3
1111	2004	737	3
1111	2005	737	3
1111	2006	737	3
1111	2007	737	2
1111	2007	737	3
1111	2008	737	2
1111	2008	737	3
1115	1996	384	1
1115	1996	737	2
1115	1997	384	1
1115	1997	809	3
1115	1998	384	1
1115	1998	737	2
1115	1999	384	4
1115	1999	737	5
1115	1999	737	6
1115	2000	384	0
1117	1996	263	9
1117	1996	366	10
1117	1997	366	10
1117	1998	366	10
1117	1999	366	10
1117	2000	366	10
1117	2001	366	10
1117	2002	366	10
1117	2003	366	10
1117	2004	366	10
1117	2005	366	10
1117	2006	366	10
1117	2007	366	10
1117	2008	366	10
1117	2009	366	10
1117	2010	366	10
1117	2011	366	10
1117	2012	366	10
1117	2013	366	10
1121	1996	131	4
1121	1996	517	8
1121	1996	421	9
1121	1997	131	4
1121	1997	517	8
1121	1997	421	9
1121	1998	131	4
1121	1998	517	8
1121	1998	421	9
1121	1999	131	4
1121	1999	517	8
1121	1999	421	9
1121	2000	131	4
1121	2000	517	8
1121	2000	421	9
1121	2001	131	4
1121	2001	517	8
1121	2001	421	9
1121	2002	131	4
1121	2002	517	8
1121	2002	421	9
1121	2003	131	4
1121	2003	517	8
1121	2003	421	9
1121	2004	131	4
1121	2004	517	8
1121	2004	421	9
1121	2005	131	4
1121	2005	517	8
1121	2005	421	9
1121	2006	131	4
1121	2006	517	8
1121	2006	421	9
1121	2007	131	4
1121	2007	517	8
1121	2007	421	9
1121	2008	131	4
1121	2008	517	8
1121	2008	421	9
1121	2009	131	4
1121	2009	421	9
1121	2009	517	11
1121	2009	517	12
1121	2009	517	13
1121	2010	131	4
1121	2010	421	9
1121	2010	517	11
1121	2010	517	12
1121	2010	517	13
1121	2011	131	4
1121	2011	421	9
1121	2011	517	11
1121	2011	517	12
1121	2011	517	13
1121	2012	131	4
1121	2012	421	9
1121	2012	517	11
1121	2012	517	12
1121	2013	131	4
1121	2013	421	9
1121	2013	517	11
1148	1996	621	2
1148	1996	603	3
1148	1996	621	4
1148	1997	621	2
1148	1997	603	3
1148	1997	621	4
1148	1998	603	3
1148	1998	621	4
1148	1999	621	5
1148	1999	621	6
1148	1999	621	7
1148	1999	621	8
1148	2000	621	5
1148	2000	621	6
1148	2000	620	7
1151	1996	384	1
1154	1996	871	0
1154	1997	871	1
1154	1998	871	0
1154	1999	871	1
1154	2000	871	0
1154	2001	871	1
1154	2002	871	1
1161	1996	367	1
1161	1997	367	1
1161	1998	367	2
1161	1998	367	3
1161	1999	367	2
1161	1999	367	3
1161	2000	367	4
1161	2000	367	5
1161	2000	367	6
1161	2001	367	4
